name,breed,mixed,sex,neut,age,SRA,how_long,how_often,where_num,other pet,o_age,origin_num,kept_num,how_long_r,how_often_r,relationship,feelings_home,feelings_known,feelings_strange,deal_home,deal_known,deal_strange,safe_strange,safe_known,safe_home,greet_short,greet_long,whine,bark,howl,drool,pee,poo,destruct,tremble,aroused,owner_feeling,home_behav,elimin_greet,Clusters
Zara,Vizsla,0,2,1,19,1,2,3,3,2,28,5,3,2,3,7,1,4,5,1,5,5,0,1,3,5,4,2,3,1,1,0,0,1,0,2,0.901895464,0.250900533,0.748017014,1
nina,Mixed,1,2,0,99,0,2,4,1,0,32,5,3,2,4,7,2,2,3,3,3,5,1,1,3,5,5,1,2,0,0,0,0,0,0,0,-0.064909911,0.095491155,-1.007548201,1
Tölgy,Mixed,1,1,1,22,1,3,3,1,2,23,4,3,3,3,7,1,2,3,2,3,5,1,1,1,5,5,1,0,0,0,0,0,1,0,0,0.029862554,-0.071136215,-1.048120749,1
Peggy,Beagle,0,2,1,72,1,2,3,1,0,21,2,2,2,3,6,1,2,4,1,2,4,1,1,3,4,5,1,0,0,0,0,0,0,0,1,-0.206887932,-0.842569171,-0.344481097,1
Tessa,Mixed,1,2,1,78,1,3,3,1,0,28,1,3,3,3,7,2,2,5,3,3,5,0,1,3,4,5,1,1,0,0,0,0,2,1,2,0.523075904,0.328139288,-0.355385943,1
Lotte,Boxer,0,2,0,8,0,1,2,3,0,23,5,3,1,2,6,4,4,5,3,3,4,1,1,2,3,5,1,0,0,0,0,0,2,0,0,0.66722896,-0.116584878,-0.664545735,1
Csitri,Miniature German Spitz,0,2,0,180,1,3,4,3,0,22,3,2,3,4,7,2,2,2,2,2,3,3,3,3,4,4,2,1,0,0,0,0,0,2,2,-1.915609372,0.840721779,-0.072955445,4
Merszi,Siberian Husky,0,2,0,75,1,0,1,2,1,50,2,2,1,1,6,1,3,4,1,3,4,0,1,3,5,5,2,3,0,0,0,0,3,0,2,-0.142877219,0.943507485,-0.792178344,1
Rozi,Mixed,1,2,1,63,0,2,3,2,0,38,4,3,2,3,5,1,3,5,1,3,4,1,1,3,3,5,0,2,0,0,0,0,0,0,2,0.176658324,-0.789326425,0.237859224,1
Zoé,Mixed,1,2,1,40,0,2,3,3,1,31,2,3,2,3,7,1,2,5,2,2,5,0,1,1,3,4,1,0,0,1,0,0,0,1,1,0.725151941,-0.903539773,1.08583037,2
Kefír,Mixed,1,2,0,12,1,2,3,3,0,32,4,3,2,3,6,2,1,2,2,1,4,1,1,1,3,4,2,1,1,0,0,0,1,0,0,-1.095013809,0.550653232,-0.338670399,4
Dexter,Bullterrier,0,1,1,51,0,1,3,1,2,54,2,3,1,3,6,3,3,4,2,2,2,1,1,1,4,4,0,0,0,0,0,0,2,0,0,-0.233896513,-0.249427723,-0.597557203,1
Suzi,Siberian Husky,0,2,0,28,0,0,1,2,1,50,1,2,1,1,7,1,2,3,1,3,3,1,1,3,5,5,1,1,1,0,0,0,0,0,1,-0.571754604,-0.10725731,-0.681222386,4
Rory,Shetland Sheepdog,0,1,0,5,0,2,2,1,0,24,2,3,2,2,6,4,4,5,1,5,5,1,1,3,5,5,1,1,1,0,0,0,0,0,2,1.088658335,-0.168808819,-0.362212133,1
Morzsi,Mixed,1,2,0,34,1,3,4,1,0,59,4,1,3,4,6,3,5,5,3,4,5,1,1,1,3,4,1,2,1,1,1,1,2,0,1,1.011209523,0.72742289,2.489766965,3
Szamóca2,"Fox Terrier, Wire",0,2,1,99,0,1,3,3,0,31,1,2,1,3,7,2,4,5,3,4,5,0,1,1,4,5,3,0,0,0,0,0,0,3,3,1.396098639,0.475828506,0.098812189,1
Fruzsi,English Cocker Spaniel,0,2,1,12,0,1,2,3,0,36,2,3,1,2,7,3,2,5,2,2,4,0,1,3,4,5,0,0,0,0,1,0,1,0,0,0.42069038,-0.67845369,0.07446084,1
Lucy,Mixed,1,2,1,43,1,2,3,1,0,24,3,3,2,3,6,3,3,4,4,4,4,1,1,1,5,5,0,0,0,0,0,0,0,2,3,0.866335839,0.298396447,-0.438379283,1
Panna2,Maltese,0,2,0,138,0,2,4,1,0,23,5,3,2,4,7,1,5,5,2,3,5,1,0,2,5,4,1,1,0,.,0,0,0,0,1,1.1026602,-0.774344588,0.015961027,1
Botond,Vizsla,0,1,1,32,1,3,3,1,0,31,4,3,3,3,7,2,3,3,4,4,4,1,1,2,4,5,2,2,1,0,0,0,2,0,0,-0.171332921,1.262691967,-1.066636038,3
Matt,Border collie,0,1,0,48,0,2,4,1,0,18,2,3,2,4,6,1,3,4,1,3,4,1,1,3,3,4,1,0,0,1,0,0,0,0,2,0.233047801,-1.163260475,1.207380233,2
Bolygó,Mixed,1,2,0,20,1,2,4,1,0,24,5,3,2,4,5,2,2,4,2,3,3,0,1,3,4,5,0,0,0,0,0,0,0,0,0,0.25647644,-1.107321147,-0.569140867,1
Luna Zara,Mixed,1,2,1,86,1,3,4,3,0,42,4,3,3,4,6,1,2,4,1,2,4,0,1,3,2,2,0,0,0,0,0,0,0,0,1,-0.075321398,-1.841715827,1.616244421,2
